model,seed,fid,slug,mlflow_status,best_metric,final_epoch,run_uuid
wgan_gp,0,271.56794230400885,a3ebd3d503f8,FINISHED,-66.91706708386853,35.0,b625ab59a5d64ad1baa8dce9fcc6ba39
wgan_gp,42,239.56087012389438,a5620f887673,FINISHED,-83.70654045616662,39.0,e2dc5390c2d94177bbea07d9f832b486
wgan_gp,3407,247.21530893881015,c4f086b595f2,FINISHED,-116.04349067237403,58.0,55db3a017349403aabae70ab6fe84cef
wgan_gp,3407,247.4067033598574,cf2f46db6bfd,FINISHED,-71.08723480255158,54.0,3be4c577b2c940c3869b7a7e87e5aa38
wgan_gp,42,227.40917520142142,d87c59dacb8b,FINISHED,-84.45297305362003,47.0,1533197b52ae4a4c9861599411f896c9
wgan_gp,0,226.96248922407634,fcf4351fc7b4,FINISHED,-51.92542436769656,35.0,d79aadd345984f7b933bacb00b38be68
sn_gan,3407,358.4331341515397,17674adbf2b3,FINISHED,-0.8699302434085965,37.0,9768917183594bd0912042a4960614d6
sn_gan,42,284.0359564166896,587ccfbaf6bd,FINISHED,-0.6966471355837267,60.0,f2ef5cc9a68b4db490da48c263e63f44
sn_gan,42,255.68104873041028,608f59934eff,FINISHED,-0.5617976635545343,39.0,43357bcb5c8148ee9b0ef44390289957
sn_gan,0,372.24761918112296,61322f5520aa,FINISHED,-2.3091393223515264,62.0,ae2082496d0a46e0b7a20bd574832862
sn_gan,3407,310.17363684204634,65f795bc2b39,FINISHED,-0.7216121755443416,35.0,7c89b050067f47259c6ac135850d04a9
sn_gan,0,244.71320073992283,69c09b178eb5,FINISHED,-0.6310755220858065,42.0,871885813e1c463f8fe1aa12bd961a83
sn_gan,42,242.04378813614468,6b96ba31615f,FINISHED,-0.7560144121701772,43.0,714e7e9681d14bb986525b9694cbcbb6
sn_gan,3407,358.18565041793397,7092cb017687,FINISHED,-0.8699302434085965,37.0,6c64843684354a41ac4c981e41342dac
sn_gan,42,226.13155201083208,737a5766e176,FINISHED,-0.8045102551176742,70.0,3fdcaae07bdb4d71b7e9f2262bf8e794
sn_gan,3407,267.83608424361745,80625729d103,FINISHED,-0.6759839142645682,39.0,e59379c0d29d47b584a31b90ca99e77a
sn_gan,0,304.29038523641987,92935c52d9a1,FINISHED,-0.7177254622047012,46.0,824ab841c1dd4131832fbd9314f3da42
sn_gan,42,240.87065433148553,9438819947c0,FINISHED,-0.7560144121701772,43.0,fb75213fcbfa41b883430fd11d31c2c7
sn_gan,42,290.08148021878844,999f503144b6,FINISHED,-1.0033789479338728,38.0,b7350546a98141b9937dd455ce21a37f
sn_gan,0,372.155497585227,9b8ba3e9c183,FINISHED,-2.3091393223515264,62.0,f0cc1d82926143389c13ca9c0c7dc53b
sn_gan,3407,247.48528738215606,a066b5f12663,FINISHED,-0.9418420795205835,56.0,57d9e6288a6f404caa3c6398ae1b04ad
sn_gan,0,301.59628021472463,a16a6c27fcd8,FINISHED,-1.424477068630902,46.0,5345f5dcde6b434ebdc9126167df1bdd
sn_gan,42,291.4837150909942,ad4c11ce5387,FINISHED,-1.0033789479338728,38.0,96f389afab514f1c903eaee31171c110
sn_gan,3407,267.9238801385457,cf2fabb17da6,FINISHED,-0.6759839142645682,39.0,4dd00fd80fbc49cabc57430f5969e8be
sn_gan,0,302.7650560948836,d1121b5eebf9,FINISHED,-1.424477068630902,46.0,5707bde5e9eb4823b5cf11e1d7273818
sn_gan,0,245.41222003992266,d249f87735e7,FINISHED,-0.6310755220858065,42.0,5ceb926a41bc4ae7864f9cc1c4b7dfa1
sn_gan,3407,311.3908103345125,e64c6536c9e4,FINISHED,-0.7216121755443416,35.0,b9b20b3070894fc8a23188e531f149e3
sn_gan,3407,250.38170925609893,e6994c9d3236,FINISHED,-0.9418420795205835,56.0,bc1c508090ae4fdab218fce34096a1ac
sn_gan,0,306.227624956656,f5d4e390d163,FINISHED,-0.7177254622047012,46.0,2d0a2a4118c848998315b4e30ac0f121
sn_gan,42,285.09372410351057,fc87768595c1,FINISHED,-0.6966471355837267,60.0,16b51cd7056a4f73a264a6ba9c9494a4
